En_URL,En_Filename
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/5000-series/5044/5044-4-family-violence.html,5044-4-family-violence.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/1000-series/1001/1001-0-access-information.html,1001-0-access-information.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/1000-series/1001/1001-1-access-to-information-act-requests.html,1001-1-access-to-information-act-requests.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/1000-series/1002/1002-1-requests-under-privacy-act-personal-information.html,1002-1-requests-under-privacy-act-personal-information.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/2000-series/2006/2006-1-procedures-safeguarding-authorized-disclosure-information.html,2006-1-procedures-safeguarding-authorized-disclosure-information.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/3000-series/3002/3002-4-ammunition-or-explosives-accident-incident-defect-or-malfunction-reporting.html,3002-4-ammunition-or-explosives-accident-incident-defect-or-malfunction-reporting.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/7000-series.html,7000-series.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/3000-series/3020/3020-1-dnd-vehicle-use-for-ground-transport-and-driver-licensing.html,3020-1-dnd-vehicle-use-for-ground-transport-and-driver-licensing.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/5000-series/5015/5015-0-workplace-accommodation.html,5015-0-workplace-accommodation.html
https://www.canada.ca/en/department-national-defence/services/benefits-military/military-housing.html,military-housing.html
https://www.canada.ca/en/department-national-defence/services/benefits-military/pay-pension-benefits/benefits/canadian-forces-housing-differential.html,canadian-forces-housing-differential.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/compensation-benefits-instructions/chapter-10-foreign-service.html,chapter-10-foreign-service.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/queens-regulations-orders/vol-1-administration/ch-28-allotment-occupation-quarters.html,ch-28-allotment-occupation-quarters.html
https://www.canada.ca/en/department-national-defence/corporate/policies-standards/defence-administrative-orders-directives/5000-series/5024/5024-0-dnd-living-accommodation.html,5024-0-dnd-living-accommodation.html
